剧目,关系,戏园
（虫八）蜡庙11,演出地,中和茶园
（虫八）蜡庙119,演出地,天乐茶园
（虫八）蜡庙145,演出地,文明茶园
（虫八）蜡庙176,演出地,燕喜堂
（虫八）蜡庙2,演出地,人和园
（虫八）蜡庙313,演出地,广和楼
（虫八）蜡庙332,演出地,广德楼
（虫八）蜡庙353,演出地,华乐戏院
（虫八）蜡庙44,演出地,广和戏院
（虫八）蜡庙6,演出地,三庆园
■林宴281,演出地,春仙茶园
■塔寺文武代打125,演出地,天和茶园
■杨楼274,演出地,春仙茶园
安天会234,演出地,庆乐戏院
安天会36,演出地,广和戏院
八本九阳钟77,演出地,中和大戏院
八扯4,演出地,三庆园
八大锤100,演出地,丹桂茶园
八大锤306,演出地,广和楼
八大锤329,演出地,广和戏院
八大锤8,演出地,三庆园
八府267,演出地,春仙茶园
八蜡庙220,演出地,同益茶园
八蜡庙262,演出地,春仙茶园
八十八扯159,演出地,吉祥茶园
八十八扯320,演出地,广兴茶园
八义庙196,演出地,广和楼
八义庙200,演出地,广和楼
八义图186,演出地,景泰茶园
八义图188,演出地,景泰茶园
巴骆和109,演出地,天乐茶园
巴骆和303,演出地,广和楼
坝王庄317,演出地,广乐茶园
霸王别姬261,演出地,哈尔飞戏院
霸王庄199,演出地,广和楼
白帝城249,演出地,哈尔飞戏院
白良关146,演出地,文明茶园
白良关183,演出地,景泰茶园
白良关264,演出地,春仙茶园
白良关302,演出地,广和楼
白良关34,演出地,吉祥园
白良关35,演出地,吉祥园
白马坡207,演出地,吉祥舞台
白蟒台235,演出地,庆乐戏院
白蟒台326,演出地,广和戏院
白门楼115,演出地,天乐茶园
白门楼161,演出地,吉祥园
白门楼183,演出地,景泰茶园
白蛇传11,演出地,中和茶园
白蛇传320,演出地,广兴茶园
白水滩105,演出地,丹桂茶园
白水滩140,演出地,文明茶园
白水滩144,演出地,文明茶园
白水滩146,演出地,文明茶园
白水滩180,演出地,景泰茶园
白水滩271,演出地,春仙茶园
白水滩277,演出地,春仙茶园
白水滩361,演出地,广德楼
百草山208,演出地,吉祥舞台
百草山212,演出地,吉祥舞台
百草山258,演出地,广和楼
百草山306,演出地,广和楼
百草山308,演出地,广和楼
百草山310,演出地,广和楼
百草山317,演出地,广乐茶园
百花亭336,演出地,天乐茶园
百花亭339,演出地,天乐茶园
百花亭346,演出地,天乐茶园
百凉楼213,演出地,吉祥舞台
百寿图202,演出地,广和楼
拜寿算粮140,演出地,文明茶园
拜寿算粮180,演出地,景泰茶园
拜寿算粮182,演出地,景泰茶园
拜寿算粮320,演出地,广兴茶园
宝凤缘219,演出地,同乐园
宝莲灯304,演出地,广和楼
宝莲灯82,演出地,华乐园
宝莲灯98,演出地,广和楼
保全灯174,演出地,燕喜堂
保全灯319,演出地,广兴茶园
盃青9,演出地,三庆园
北平府218,演出地,同乐茶园
背板橙351,演出地,华乐戏院
变羊计102,演出地,丹桂茶园
变羊计16,演出地,吉祥茶园
变羊计188,演出地,景泰茶园
变羊计189,演出地,景泰茶园
变羊计269,演出地,春仙茶园
变羊计9,演出地,三庆园
别宫193,演出地,广和楼
别宫198,演出地,广和楼
别宫287,演出地,春仙茶园
别母乱箭43,演出地,广和戏院
别窑214,演出地,同乐园松庆社
采石矶46,演出地,广和戏院
採花赶府157,演出地,乐舞台
採花赶府212,演出地,吉祥舞台
採花赶府66,演出地,庆乐园
彩楼配110,演出地,天乐茶园
彩楼配176,演出地,燕喜堂
蔡家庄50,演出地,广和戏院
藏舟340,演出地,天乐茶园
曹刿扶国133,演出地,开明戏院
草桥关111,演出地,天乐茶园
草桥关133,演出地,开明戏院
草桥关148,演出地,文明茶园
草桥关176,演出地,燕喜堂
草桥关190,演出地,广和楼
草桥关204,演出地,吉祥园
草桥关221,演出地,同益茶园
草诏124,演出地,天乐茶园
茶瓶计316,演出地,三庆戏院
查关114,演出地,天乐茶园
查关138,演出地,文明茶园
查关244,演出地,哈尔飞戏院
柴桑口172,演出地,燕喜堂
吵家289,演出地,春仙茶园
吃醋108,演出地,丹桂园福寿班
池水馹27,演出地,吉祥园
丑表功30,演出地,吉祥园
出祁山6,演出地,三庆园
出潼关122,演出地,天乐茶园
出潼关124,演出地,天乐茶园
除三害179,演出地,景泰茶园
除三害184,演出地,景泰茶园
除三害260,演出地,广和楼
闯山18,演出地,吉祥茶园
闯王射门336,演出地,天乐茶园
闯王搜宫336,演出地,天乐茶园
春秋笔318,演出地,广兴茶园
春香闹学108,演出地,丹桂园福寿班
辞朝196,演出地,广和楼
辞朝199,演出地,广和楼
刺巴杰109,演出地,天乐茶园
刺巴杰207,演出地,吉祥舞台
刺巴杰267,演出地,春仙茶园
刺巴杰303,演出地,广和楼
刺梁122,演出地,天乐茶园
刺梁341,演出地,天乐茶园
刺王僚182,演出地,景泰茶园
刺王僚203,演出地,广和楼
翠凤楼107,演出地,牡丹园春庆社
翠凤楼318,演出地,广兴茶园
翠屏山104,演出地,丹桂茶园
翠屏山107,演出地,牡丹园春庆社
翠屏山114,演出地,天乐茶园
翠屏山14,演出地,吉祥茶园
翠屏山156,演出地,乐舞台
翠屏山158,演出地,吉祥茶园
翠屏山16,演出地,吉祥茶园
翠屏山172,演出地,燕喜堂
翠屏山177,演出地,景泰茶园
翠屏山178,演出地,景泰茶园
翠屏山19,演出地,吉祥茶园
翠屏山260,演出地,广和楼
翠屏山265,演出地,春仙茶园
翠屏山273,演出地,春仙茶园
