演员,关系,戏园
一升雷,演出于,人和园
孟小兰,演出于,人和园
孟小卿,演出于,人和园
达子红,演出于,人和园
达子红,演出于,春仙茶园
盖天红,演出于,人和园
盖天红,演出于,广乐茶园
丁香花,演出于,人和园
丁香花,演出于,春仙茶园
盖兰州,演出于,人和园
盖兰州,演出于,燕舞台
玻璃翠,演出于,人和园
玻璃翠,演出于,广兴茶园
玻璃翠,演出于,中和茶园
玻璃翠,演出于,春仙茶园
玻璃翠,演出于,景泰茶园
玻璃翠,演出于,德泉戏园
玻璃翠,演出于,燕喜茶园
玻璃翠,演出于,燕喜堂
六岁红,演出于,人和园
六岁红,演出于,春仙茶园
金香翠,演出于,人和园
小十二旦,演出于,人和园
自来香,演出于,人和园
小玉红,演出于,人和园
小玉红,演出于,升平茶园
小玉红,演出于,吉祥茶园
小玉红,演出于,吉祥园
小玉芬,演出于,人和园
小玉芬,演出于,吉祥茶园
小玉芬,演出于,吉祥园
小玉芬,演出于,春仙茶园
小玉芬,演出于,第一舞台
小月楼,演出于,人和园
小月楼,演出于,文明茶园
小月楼,演出于,吉祥园
小月楼,演出于,春仙茶园
小月楼,演出于,燕舞台
小月楼,演出于,堂会义务戏戏单
七金子,演出于,人和园
七金子,演出于,吉祥园
七金子,演出于,西安园
七金子,演出于,春仙茶园
小连仲,演出于,人和园
小连仲,演出于,春仙茶园
崔德林,演出于,三庆园
陈喜光,演出于,三庆园
陈喜光,演出于,开明戏院
陈喜光,演出于,吉祥大戏院
陈喜光,演出于,哈尔飞戏院
陈喜光,演出于,春仙茶园
张娃娃,演出于,三庆园
张娃娃,演出于,春仙茶园
上海新到小小十三旦,演出于,三庆园
张喜和,演出于,三庆园
张喜和,演出于,广德楼
张喜和,演出于,庆升茶园
金连寿,演出于,三庆园
金连寿,演出于,广德楼
金连寿,演出于,牡丹园春庆社
何连涛,演出于,三庆园
何连涛,演出于,广和楼
何连涛,演出于,广德楼
何连涛,演出于,中和戏院
何连涛,演出于,消闲友会
殷连瑞,演出于,三庆园
殷连瑞,演出于,广和楼
张连芬,演出于,三庆园
张连芬,演出于,广德楼
小金红,演出于,三庆园
小金红,演出于,三庆茶园
小金红,演出于,燕喜茶园
程连喜,演出于,三庆园
程连喜,演出于,吉祥茶园
程连喜,演出于,吉祥园斌广社
明娃娃,演出于,三庆园
明娃娃,演出于,吉祥舞台
明娃娃,演出于,庆升茶园
